year,importer1,importer2,flow1,flow2
2009,ATL,OKC,1,0
2009,BOS,MEM,1,0
2009,BOS,NYK,3,1
2009,CHA,CHI,2,1
2009,CHA,GSW,2,2
2009,CHA,OKC,1,0
2009,CHI,MIL,1,1
2009,CHI,NOH,1,1
2009,CLE,GSW,1,0
2009,CLE,MIL,1,0
2009,DAL,LAC,1,0
2009,DAL,MIN,1,0
2009,DAL,NJN,1,1
2009,DAL,WAS,3,3
2009,GSW,WAS,1,0
2009,HOU,NYK,1,2
2009,HOU,SAC,3,2
2009,HOU,TOR,1,0
2009,HOU,WAS,1,1
2009,IND,POR,1,0
2009,LAC,CLE,1,0
2009,LAC,POR,1,2
2009,LAC,WAS,1,0
2009,MEM,PHI,1,0
2009,MEM,SAS,2,3
2009,MIA,GSW,1,0
2009,MIA,NJN,1,1
2009,MIA,POR,1,1
2009,MIL,PHI,2,2
2009,MIN,NOH,1,0
2009,NOH,LAC,1,0
2009,NOH,NYK,1,0
2009,NOH,SAC,1,0
2009,NYK,CHA,1,0
2009,NYK,GSW,1,0
2009,NYK,MIN,1,0
2009,OKC,HOU,1,0
2009,OKC,WAS,1,0
2009,PHX,MIN,1,0
2009,POR,PHX,1,0
2009,POR,SAC,1,0
2009,SAC,NYK,1,0
2009,SAC,SAS,1,0
2009,SAS,BOS,1,0
2009,SAS,CHA,1,0
2009,SAS,PHX,1,0
2009,SAS,WAS,1,0
2009,UTA,MEM,1,0
2009,UTA,OKC,1,0
2009,WAS,CLE,1,0
2009,WAS,SAC,1,0
2010,ATL,BOS,1,0
2010,ATL,GSW,1,0
2010,ATL,NJN,1,0
2010,ATL,WAS,3,2
2010,BOS,CHI,1,0
2010,BOS,CLE,2,2
2010,BOS,DEN,1,0
2010,BOS,MEM,1,0
2010,BOS,NJN,1,1
2010,BOS,OKC,2,2
2010,BOS,POR,1,1
2010,CHA,DAL,2,2
2010,CHA,LAL,1,0
2010,CHA,NJN,1,0
2010,CHA,NYK,2,0
2010,CHA,OKC,1,1
2010,CHA,POR,1,2
2010,CHI,HOU,1,0
