,Player,enterYear,retireYear,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,TS%,3PAr,FTr,WS/48,FG%,3P%,2P%,eFG%,FT%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,MP_PG,FG_PG,FGA_PG,3P_PG,3PA_PG,2P_PG,2PA_PG,FT_PG,FTA_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
0,A.C. Green,1986,2001,PF,1361,905,39044,4778,9686,125,509,4653,9177,3247,4447,3576,6553,10129,1469,1103,562,1508,2581,12928,13.9,3.4,2.4,5.8,-0.5,0.4,-0.1,1.3,0.544,0.049,0.437,0.122,0.488,0.147,0.502,0.493,0.708,0.104,0.188,0.147,0.052,0.014,0.009,0.115,0.144,28.7,3.5,7.1,0.1,0.4,3.4,6.7,2.4,3.3,2.6,4.8,7.4,1.1,0.8,0.4,1.1,1.9,9.5
1,A.J. Bramlett,2000,2000,C,8,0,61,4,21,0,0,4,21,0,0,12,10,22,0,1,0,3,13,8,-0.4,-0.2,0.1,-0.2,-10.5,-6.3,-16.8,-0.2,0.19,0.0,0.0,-0.129,0.19,,0.19,0.19,,0.217,0.185,0.201,0.0,0.008,0.0,0.125,0.171,7.6,0.5,2.6,0.0,0.0,0.5,2.6,0.0,0.0,1.5,1.2,2.8,0.0,0.1,0.0,0.4,1.6,1.0
2,A.J. English,1991,1992,SG,151,18,3108,617,1418,9,65,608,1353,259,333,140,175,315,320,57,24,203,287,1502,11.6,-0.2,0.7,0.6,-2.2,-2.8,-5.1,-1.2,0.48,0.047,0.241,0.017,0.436,0.137,0.451,0.439,0.774,0.049,0.062,0.056,0.159,0.009,0.004,0.119,0.237,20.6,4.1,9.4,0.1,0.4,4.0,9.0,1.7,2.2,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9
3,A.J. Guyton,2001,2003,PG,80,14,1246,166,440,73,193,93,247,37,45,22,58,80,147,20,12,62,58,442,4.4,0.1,-0.0,0.1,-6.1,-4.9,-11.0,-0.3,0.324,0.371,0.068,-0.141,0.256,0.255,0.254,0.311,0.824,0.014,0.038,0.025,0.235,0.025,0.005,0.144,0.208,15.6,2.1,5.5,0.9,2.4,1.2,3.1,0.5,0.6,0.3,0.7,1.0,1.8,0.2,0.1,0.8,0.7,5.5
4,A.J. Hammons,2017,2017,C,22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48,8.4,-0.2,0.2,0.0,-7.5,1.9,-5.6,-0.1,0.472,0.238,0.476,-0.001,0.405,0.5,0.375,0.464,0.45,0.054,0.209,0.128,0.038,0.003,0.072,0.164,0.176,7.4,0.8,1.9,0.2,0.5,0.5,1.5,0.4,0.9,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2
5,A.J. Price,2010,2015,PG,287,25,4253,600,1581,233,747,367,834,223,303,74,335,409,613,132,9,243,252,1656,10.4,0.1,0.4,0.6,-1.5,-2.7,-4.1,-0.1,0.435,0.456,0.157,0.021,0.355,0.243,0.445,0.412,0.632,0.02,0.092,0.056,0.227,0.013,0.001,0.11,0.208,14.8,2.1,5.5,0.8,2.6,1.3,2.9,0.8,1.1,0.3,1.2,1.4,2.1,0.5,0.0,0.8,0.9,5.8
6,A.J. Wynder,1991,1991,PG,6,0,39,3,12,0,1,3,11,6,8,1,2,3,8,1,0,4,1,12,7.6,-0.1,0.0,0.0,-5.9,-3.5,-9.4,-0.1,0.387,0.083,0.667,-0.051,0.25,0.0,0.273,0.25,0.75,0.031,0.052,0.042,0.24,0.013,0.0,0.205,0.211,6.5,0.5,2.0,0.0,0.2,0.5,1.8,1.0,1.3,0.2,0.3,0.5,1.3,0.2,0.0,0.7,0.2,2.0
7,A.W. Holt,1971,1971,SF,6,0,14,1,8,0,0,1,8,2,3,0,0,4,0,0,0,0,1,4,-1.8,-0.1,0.0,-0.1,,,,,0.215,,0.375,-0.398,0.125,,0.125,0.125,0.667,,,0.135,0.0,,,,,2.3,0.2,1.3,0.0,0.0,0.2,1.3,0.3,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.7
8,Aaron Brooks,2008,2017,PG,797,226,17088,2829,6893,1025,2805,1804,4088,1156,1371,323,1037,1360,2485,469,113,1272,1544,7839,12.3,0.9,0.7,1.5,-0.1,-2.5,-2.6,0.0,0.512,0.422,0.181,0.052,0.403,0.354,0.437,0.478,0.838,0.022,0.065,0.044,0.238,0.014,0.009,0.155,0.222,21.4,3.5,8.6,1.3,3.5,2.3,5.1,1.5,1.7,0.4,1.3,1.7,3.1,0.6,0.1,1.6,1.9,9.8
9,Aaron Gordon,2015,2017,SF,205,117,4958,760,1652,132,457,628,1195,329,471,316,765,1081,311,144,117,193,408,1981,14.3,1.8,1.5,3.4,-0.8,0.3,-0.6,0.8,0.529,0.262,0.292,0.092,0.458,0.285,0.52,0.495,0.703,0.069,0.177,0.122,0.09,0.014,0.02,0.105,0.176,24.2,3.7,8.1,0.6,2.2,3.1,5.8,1.6,2.3,1.5,3.7,5.3,1.5,0.7,0.6,0.9,2.0,9.7
